px,py,vx,vy,px_measured,py_measured,gt_px,gt_py,gt_vx,gt_vy
8.39379,-6.36696,2.13069,-1.63349,8.08628,-6.51855,8.2,-6.6,0.909293,-2.72787
8.44951,-6.53005,2.07585,-1.69353,8.25411,-6.74791,8.25,-6.75,0.909293,-2.72787
8.54966,-6.6341,2.10209,-1.66396,8.25648,-6.78122,8.35,-6.85,1.81994,-1.81993
8.61286,-6.78473,2.05777,-1.70669,8.44494,-6.95805,8.45,-6.95,1.81993,-1.81993
8.69565,-6.8755,2.04534,-1.66,8.39359,-7.01743,8.5,-7.1,1.00006,-3.00018
8.73875,-7.02927,1.98246,-1.72811,8.54925,-7.24433,8.55,-7.25,1.00006,-3.00018
8.8633,-7.15601,2.17593,-1.862,8.64403,-7.39047,8.65,-7.4,1.99807,-2.99712
8.9152,-7.32056,2.10596,-1.94192,8.73559,-7.5421,8.75,-7.55,1.99808,-2.99712
8.9887,-7.41482,1.94932,-1.77708,8.87176,-7.71912,8.8,-7.65,0.909955,-1.8199
9.03693,-7.57501,1.88165,-1.83896,8.84538,-7.75497,8.85,-7.75,0.909946,-1.81988
9.1276,-7.68339,1.92573,-1.86482,8.88333,-7.88636,8.9,-7.9,0.999086,-2.9973
9.16223,-7.84304,1.84489,-1.94082,8.95966,-8.0381,8.95,-8.05,0.999095,-2.9973
9.2127,-7.9274,1.67795,-1.76759,8.8564,-8.01424,9,-8.15,0.909309,-1.8186
9.24816,-8.08126,1.6093,-1.82625,9.05896,-8.24314,9.05,-8.25,0.909301,-1.81859
9.3382,-8.19829,1.68986,-1.90993,9.17781,-8.47056,9.1,-8.4,1.0004,-3.00119
9.3609,-8.35777,1.60292,-1.9882,9.15332,-8.54857,9.15,-8.55,1.00038,-3.00117
9.4153,-8.45641,1.48613,-1.86603,9.22922,-8.6898,9.2,-8.65,0.909508,-1.819
9.43991,-8.61324,1.40817,-1.92961,9.24541,-8.76863,9.25,-8.75,0.9095,-1.81899
9.58454,-8.78915,1.7701,-2.36021,9.37748,-9.00609,9.35,-8.95,1.99965,-3.99928
9.61884,-8.96819,1.67145,-2.45396,9.44703,-9.15328,9.45,-9.15,1.99964,-3.99928
9.66607,-9.07531,1.53664,-2.31802,9.50096,-9.25642,9.5,-9.25,0.999584,-1.99917
9.69596,-9.23431,1.455,-2.38184,9.54157,-9.35195,9.55,-9.35,0.999584,-1.99917
9.73953,-9.34132,1.36202,-2.29056,9.47534,-9.42627,9.55,-9.5,0,-3.00023
9.74729,-9.50876,1.2562,-2.36815,9.54779,-9.64959,9.55,-9.65,0,-3.0002
9.81782,-9.64741,1.28918,-2.45295,9.69942,-9.88416,9.6,-9.8,0.999005,-2.997
9.82763,-9.81584,1.18503,-2.52388,9.64606,-9.9341,9.65,-9.95,0.998995,-2.997
9.85553,-9.93187,1.05725,-2.37771,9.60087,-9.96395,9.7,-10.05,0.909855,-1.81969
9.87393,-10.0878,0.980355,-2.41737,9.73801,-10.1396,9.75,-10.15,0.909847,-1.81969
9.92106,-10.2171,0.955529,-2.42663,9.92627,-10.4745,9.75,-10.3,0,-3.00065
9.91902,-10.3773,0.857267,-2.48722,9.75524,-10.4732,9.75,-10.45,0,-3.00063
9.96584,-10.5227,0.856916,-2.55299,9.71825,-10.5087,9.8,-10.6,0.90817,-2.72451
9.97455,-10.6906,0.770468,-2.59927,9.85048,-10.7526,9.85,-10.75,0.908161,-2.72448
9.9933,-10.8178,0.675878,-2.48805,9.88465,-10.9383,9.85,-10.9,0,-2.73074
9.98474,-10.9833,0.577086,-2.5341,9.83614,-11.041,9.85,-11.05,0,-2.73073
10.0077,-11.1126,0.543846,-2.54807,9.83952,-11.1692,9.85,-11.2,0,-2.99965
9.98958,-11.273,0.440855,-2.60024,9.84568,-11.3496,9.85,-11.35,0,-2.99961
10.0081,-11.4101,0.405719,-2.62316,9.87961,-11.5637,9.85,-11.5,0,-2.99843
9.9826,-11.5702,0.297205,-2.66809,9.83206,-11.6307,9.85,-11.65,0,-2.99843
9.94697,-11.6573,0.142299,-2.35629,9.85311,-11.8523,9.8,-11.75,-1.0003,-2.00061
9.90787,-11.8,0.0371287,-2.38961,9.74928,-11.8442,9.75,-11.85,-1.00029,-2.00059
9.90046,-11.9181,-0.0144156,-2.37774,9.69694,-11.9706,9.7,-12,-1.0004,-3.00119
9.84325,-12.0725,-0.144368,-2.42432,9.65354,-12.1497,9.65,-12.15,-1.00039,-3.00116
9.80957,-12.1723,-0.231329,-2.25689,9.72311,-12.3964,9.6,-12.25,-0.999885,-1.99981
9.74363,-12.3107,-0.357323,-2.28303,9.54859,-12.3478,9.55,-12.35,-0.999884,-1.99979
9.681,-12.3777,-0.445682,-2.00366,9.39039,-12.3902,9.45,-12.45,-1.99803,-1.99805
9.59451,-12.508,-0.586251,-2.02872,9.36086,-12.5501,9.35,-12.55,-1.99804,-1.99804
9.54663,-12.6104,-0.651913,-1.95028,9.34456,-12.7106,9.3,-12.65,-0.909773,-1.81953
9.44826,-12.7424,-0.800258,-1.96009,9.22134,-12.7613,9.25,-12.75,-0.909773,-1.81954
9.35181,-12.7828,-0.848436,-1.59034,9.15326,-13.0031,9.05,-12.85,-3.99257,-1.99629
9.20832,-12.9075,-1.05605,-1.6128,8.84161,-12.9519,8.85,-12.95,-3.99253,-1.99627
9.1088,-12.9667,-1.11894,-1.42128,8.71632,-12.9613,8.75,-13,-1.8213,-0.910651
8.96594,-13.0679,-1.30202,-1.39377,8.66358,-13.0431,8.65,-13.05,-1.8213,-0.910651
8.84927,-13.1136,-1.38435,-1.20225,8.54518,-13.1702,8.5,-13.1,-2.997,-0.999005
8.69006,-13.1969,-1.58602,-1.15098,8.35763,-13.1557,8.35,-13.15,-2.997,-0.998995
8.522,-13.2366,-1.75231,-0.923057,8.22926,-13.1698,8.2,-13.15,-2.72741,0
8.34548,-13.2859,-1.92543,-0.793456,8.03583,-13.1513,8.05,-13.15,-2.72742,0
8.17064,-13.3119,-2.10999,-0.587489,7.82914,-13.0525,7.9,-13.15,-2.72986,0
7.99684,-13.3274,-2.22384,-0.410966,7.76538,-13.1647,7.75,-13.15,-2.72986,0
7.9057,-13.346,-2.17289,-0.324663,7.66146,-13.3079,7.6,-13.2,-2.9979,-0.999304
7.72108,-13.3602,-2.3205,-0.165492,7.44786,-13.2517,7.45,-13.25,-2.9979,-0.999304
7.55722,-13.3505,-2.41039,0.0331926,7.21108,-13.0985,7.3,-13.25,-2.72846,0
7.36663,-13.3401,-2.50361,0.222684,7.16011,-13.2382,7.15,-13.25,-2.72844,0
7.17474,-13.2939,-2.67226,0.512636,6.88472,-12.9588,7,-13.2,-2.99784,0.999284
7.00136,-13.2541,-2.69974,0.710163,6.84891,-13.1493,6.85,-13.15,-2.99784,0.999284
6.8505,-13.2109,-2.65885,0.883247,6.77424,-13.2337,6.7,-13.1,-2.72787,0.909275
6.67414,-13.1491,-2.64598,1.08389,6.55759,-13.0679,6.55,-13.05,-2.72787,0.909284
6.58419,-13.116,-2.35858,1.07449,6.40137,-13.0799,6.4,-13.05,-2.72678,0
6.40824,-13.0623,-2.37806,1.23077,6.26174,-13.0534,6.25,-13.05,-2.72678,0
6.29331,-13.0033,-2.22793,1.30922,6.10143,-13.0076,6.1,-13,-2.72966,0.909888
6.11443,-12.9421,-2.25402,1.45003,5.94198,-12.9494,5.95,-12.95,-2.72963,0.90988
5.95254,-12.8362,-2.36476,1.7428,5.79854,-12.8478,5.8,-12.85,-2.99777,1.99851
5.79141,-12.7525,-2.34792,1.87873,5.65107,-12.7365,5.65,-12.75,-2.99778,1.99852
5.70751,-12.684,-2.03449,1.79448,5.50547,-12.5721,5.55,-12.7,-1.81798,0.908995
5.55542,-12.6018,-2.00762,1.90067,5.43839,-12.652,5.45,-12.65,-1.81799,0.908995
5.42963,-12.4843,-1.95424,2.07273,5.27506,-12.4782,5.3,-12.55,-2.72627,1.81753
5.27227,-12.3938,-1.93319,2.16218,5.1307,-12.4684,5.15,-12.45,-2.72625,1.8175
5.18158,-12.2945,-1.74438,2.16268,5.04446,-12.3808,5.05,-12.35,-1.8199,1.81989
5.04595,-12.1936,-1.69901,2.24272,4.92985,-12.2499,4.95,-12.25,-1.81991,1.8199
4.95592,-12.0768,-1.59261,2.3263,4.75061,-11.9803,4.85,-12.15,-1.99928,1.99929
4.84578,-11.9824,-1.53772,2.37904,4.75915,-12.0666,4.75,-12.05,-1.99928,1.99928
4.75879,-11.8493,-1.42396,2.47252,4.69113,-11.9084,4.7,-11.9,-0.908236,2.72471
4.67305,-11.7187,-1.30941,2.5383,4.64378,-11.7442,4.65,-11.75,-0.908231,2.7247
4.63555,-11.6137,-1.06087,2.38811,4.59746,-11.6205,4.6,-11.65,-0.909847,1.81971
4.57017,-11.4982,-0.952971,2.42045,4.54975,-11.5706,4.55,-11.55,-0.909843,1.81969
4.45854,-11.3034,-1.05696,2.92413,4.47442,-11.3673,4.5,-11.35,-1.0008,4.0032
4.41688,-11.1541,-0.902915,2.97265,4.44059,-11.1496,4.45,-11.15,-1.0008,4.00321
4.42193,-11.0421,-0.603199,2.67748,4.43713,-11.024,4.45,-11.05,0,1.81614
4.40528,-10.8983,-0.442229,2.69544,4.45136,-10.93,4.45,-10.95,0,1.81612
4.38699,-10.7501,-0.295024,2.71889,4.44745,-10.786,4.45,-10.8,0,2.72555
4.3925,-10.6054,-0.124737,2.71757,4.45788,-10.6457,4.45,-10.65,0,2.72554
4.39235,-10.4609,0.0236755,2.71449,4.46329,-10.5756,4.45,-10.5,0,2.729
4.40659,-10.3152,0.182068,2.70195,4.44057,-10.3382,4.45,-10.35,0,2.72898
4.42774,-10.1723,0.337671,2.6659,4.51895,-10.2367,4.5,-10.2,0.908962,2.72687
4.47217,-10.0257,0.515641,2.63909,4.54925,-10.0439,4.55,-10.05,0.908954,2.72685
4.50462,-9.87955,0.660898,2.63802,4.63224,-9.9707,4.6,-9.9,0.909756,2.72927
4.56537,-9.73444,0.83717,2.59528,4.63755,-9.74952,4.65,-9.75,0.909752,2.72926
4.59582,-9.5688,0.963839,2.67138,4.60757,-9.4335,4.7,-9.6,0.90859,2.72578
4.67234,-9.42634,1.1376,2.60689,4.74589,-9.4609,4.75,-9.45,0.908586,2.72576
4.74854,-9.29041,1.29105,2.52325,4.89179,-9.39473,4.85,-9.3,1.81967,2.72952
4.85281,-9.1448,1.48368,2.45687,4.94849,-9.13867,4.95,-9.15,1.81967,2.72951
4.93674,-9.02285,1.61833,2.36744,4.95209,-8.96272,5,-9.05,0.999884,1.99977
5.02308,-8.91399,1.73595,2.27042,5.04121,-8.94979,5.05,-8.95,0.999874,1.99974
5.10244,-8.78677,1.82877,2.22921,5.20806,-8.88942,5.15,-8.8,1.81805,2.72708
5.2222,-8.65766,1.9826,2.13817,5.26887,-8.63564,5.25,-8.65,1.81803,2.72705
5.32431,-8.55244,2.08789,2.04243,5.3785,-8.56768,5.35,-8.55,1.99956,1.99957
5.43646,-8.44717,2.20081,1.94406,5.44864,-8.42738,5.45,-8.45,1.99954,1.99954
5.52534,-8.34083,2.22832,1.8714,5.56465,-8.44845,5.5,-8.35,0.909045,1.81807
5.62539,-8.24806,2.27518,1.74197,5.53862,-8.24357,5.55,-8.25,0.909045,1.81808
5.6989,-8.13799,2.24711,1.69897,5.64921,-8.02513,5.7,-8.1,2.72608,2.72608
5.83593,-8.02758,2.36121,1.61637,5.85094,-7.95601,5.85,-7.95,2.72606,2.72606
5.92343,-7.92624,2.3313,1.55732,5.93492,-7.84119,5.95,-7.85,1.81801,1.81801
6.06136,-7.82097,2.42914,1.48135,6.05986,-7.73559,6.05,-7.75,1.81802,1.81801
6.14025,-7.72529,2.34607,1.42329,6.13741,-7.63243,6.15,-7.65,1.81798,1.81798
6.27407,-7.6284,2.42351,1.35222,6.25659,-7.54336,6.25,-7.55,1.81798,1.81798
6.36026,-7.5416,2.33925,1.28655,6.39143,-7.46358,6.35,-7.45,1.82027,1.82027
6.4882,-7.45272,2.39735,1.22077,6.452,-7.36418,6.45,-7.35,1.82025,1.82025
6.59416,-7.37642,2.40439,1.16051,6.47916,-7.09783,6.6,-7.25,2.99862,1.99908
6.73417,-7.28187,2.49645,1.13346,6.7556,-7.14598,6.75,-7.15,2.99862,1.99908
6.77583,-7.19331,2.22737,1.08145,6.68682,-6.93297,6.8,-7.05,0.908005,1.816
6.90274,-7.09834,2.28558,1.05846,6.86356,-6.94732,6.85,-6.95,0.908,1.81601
7.02185,-7.03219,2.28753,0.994996,7.08741,-6.92602,7,-6.85,2.72856,1.81904
7.1636,-6.93086,2.36539,0.99254,7.15695,-6.75136,7.15,-6.75,2.72854,1.81902
7.22636,-6.85629,2.14174,0.935133,7.29976,-6.68807,7.25,-6.65,1.8202,1.8202
7.3612,-6.75389,2.2154,0.951292,7.35505,-6.56058,7.35,-6.55,1.82018,1.82018
7.50937,-6.70153,2.37082,0.909509,7.53544,-6.5372,7.5,-6.5,2.99964,0.999884
7.64497,-6.61567,2.43699,0.912424,7.65664,-6.46417,7.65,-6.45,2.99964,0.999884
7.7481,-6.5518,2.34605,0.862264,7.67559,-6.34628,7.75,-6.4,1.81709,0.908549
7.88048,-6.47608,2.3829,0.843838,7.85193,-6.35845,7.85,-6.35,1.81709,0.908545
7.98957,-6.41912,2.30812,0.794401,8.03231,-6.28406,8,-6.25,2.72931,1.81954
